resume_text,jd_text,years_exp,semantic_similarity,numeric_score,detailed_ai_suggestion,,,,,,
"Marketing analyst with 7 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",7,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"System administrator with 1 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",1,0.65,65,"Low fit (Score: 65%, Similarity: 0.65). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"AI prompt engineer with 8 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",8,0.65,65,"Low fit (Score: 65%, Similarity: 0.65). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Marketing analyst with 10 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",10,0.79,79,"Good fit (Score: 79%, Similarity: 0.79). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Full-stack developer with 1 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,1,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Video editor with 9 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",9,0.81,81,"Good fit (Score: 81%, Similarity: 0.81). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Technical writer with 7 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,7,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Data engineer with 4 years of experience in building ETL pipelines using Airflow, Python, and Spark. Worked on distributed systems and optimized data warehousing.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,4,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Video editor with 4 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",4,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
Data analyst with 3 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,"Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",3,0.66,66,"Low fit (Score: 66%, Similarity: 0.66). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Graphic designer with 5 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,5,0.87,87,"Strong fit (Score: 87%, Similarity: 0.87). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cybersecurity analyst with 2 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",2,0.73,73,"Moderate fit (Score: 73%, Similarity: 0.73). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Blockchain developer with 8 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,8,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 8 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Full-stack developer with 3 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",3,0.9,90,"Strong fit (Score: 90%, Similarity: 0.9). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Machine Learning engineer with 10 years of experience, including TensorFlow, scikit-learn, and deploying models using Flask. Worked on NLP and forecasting.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",10,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 10 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Blockchain developer with 2 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,2,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevOps engineer with 1 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",1,0.88,88,"Strong fit (Score: 88%, Similarity: 0.88). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Technical writer with 2 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",2,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cloud Architect with 12 years' experience in Azure, GCP, and AWS. Designed scalable, fault-tolerant systems for enterprise clients.",Seeking a Junior Marketing Assistant for social media campaigns. Requires HubSpot experience and content writing skills.,12,0.62,62,"Low fit (Score: 62%, Similarity: 0.62). The candidate's extensive experience in cloud architecture is a significant mismatch for a junior marketing assistant role. Key gaps include no relevant marketing or social media experience. Recommendation: Decline due to substantial skills and experience mismatch.",,,,,,
"Frontend developer with 3 years' experience in React, Vue.js, and responsive design. Built interactive web applications.","Hiring a Data Scientist with 5+ years in Python, R, machine learning, and statistical modeling. SQL is essential.",3,0.7,70,"Moderate fit (Score: 70%, Similarity: 0.70). While the candidate has programming experience, the focus is on frontend development, not data science. Key gaps include missing core data science skills like statistical modeling or specific ML frameworks. Recommendation: Consider for a different technical role; assess analytical aptitude.",,,,,,
"Financial Analyst with 6 years' experience in financial modeling, budgeting, and forecasting. Proficient in Excel and financial reporting tools.","Seeking a Cybersecurity Engineer with 4+ years in network security, penetration testing, and incident response. CISSP preferred.",6,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). The candidate's background is entirely in finance, which does not align with a cybersecurity engineering role. Key gaps include a complete lack of technical cybersecurity skills. Recommendation: Decline due to fundamental domain and skill mismatch.",,,,,,
"Product Manager with 5 years' experience in Agile methodologies, user story creation, and roadmap development. Skilled in Jira and Confluence.","Looking for a Senior Software Engineer (Backend) with 7+ years in Java, Spring Boot, microservices, and Kafka. AWS expertise a plus.",5,0.72,72,"Moderate fit (Score: 72%, Similarity: 0.72). The candidate has strong product management skills but lacks the deep technical backend engineering expertise required. Key gaps include programming language proficiency and specific backend architectural experience. Recommendation: Consider for a product-focused role; assess understanding of software development lifecycle.",,,,,,
"Data Scientist with 5 years' experience in Python, R, and SQL. Built predictive models using scikit-learn and TensorFlow. Excellent communication skills.","Hiring a Data Scientist with 5+ years in Python, R, machine learning, and statistical modeling. SQL is essential.",5,0.96,96,"Strong fit (Score: 96%, Similarity: 0.96). Candidate directly matches all key requirements including experience level, programming languages, and ML frameworks. Minor concerns might be around specific industry experience. Recommendation: Proceed to final interview; focus on project impact and problem-solving skills.",,,,,,
"Content Writer with 4 years' experience creating blog posts, website content, and marketing copy. SEO-aware and familiar with WordPress.","Seeking a Backend Python Developer with 3+ years' experience. Must have Flask or Django, PostgreSQL, and API experience.",4,0.6,60,"Low fit (Score: 60%, Similarity: 0.60). Candidate's skills are in content creation, which has no overlap with backend development. Key gaps include a complete absence of programming or database skills. Recommendation: Decline due to severe skill and role mismatch.",,,,,,
"UX Researcher with 6 years' experience in user interviews, usability testing, and persona development. Proficient in Figma and Miro.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",6,0.9,90,"Strong fit (Score: 90%, Similarity: 0.90). Candidate demonstrates strong alignment with core UX research and design tools. Minor concerns could be around limited A/B testing experience. Recommendation: Proceed to final interview, probing on portfolio projects and research methodologies.",,,,,,
"HR Business Partner with 7 years' experience in talent acquisition, employee relations, and HR policy development. Knowledge of Workday.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",7,0.65,65,"Low fit (Score: 65%, Similarity: 0.65). The candidate's experience is entirely in HR, with no relevance to QA engineering. Key gaps include lack of any technical testing tools or methodologies. Recommendation: Decline due to complete skill set and domain mismatch.",,,,,,
"DevOps Engineer with 4 years' experience in Kubernetes, Terraform, Ansible, and Azure DevOps. Implemented CI/CD pipelines and managed cloud infrastructure.",Seeking a DevSecOps expert with hands-on experience integrating security into DevOps pipelines. Knowledge of Vault and IAM required.,4,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). Candidate has strong DevOps background with relevant tools and cloud experience. Minor concerns could be around direct DevSecOps experience or specific security tools beyond general DevOps. Recommendation: Schedule an interview to deep dive into security practices and experience with Vault/IAM.",,,,,,
"SEO Specialist with 3 years' experience in keyword research, on-page optimization, and link building. Used SEMrush and Ahrefs.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",3,0.83,83,"Good fit (Score: 83%, Similarity: 0.83). Candidate has relevant marketing experience and explicit SEO knowledge, which is a bonus. Key gaps might be direct experience with Google Analytics, Tableau, or Excel, but the general marketing domain is a good match. Recommendation: Schedule an interview to assess proficiency in required analytical tools.",,,,,,
"Backend Python developer with 5 years’ experience in Django, REST APIs, and PostgreSQL. Familiar with Docker and AWS EC2.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",5,0.98,98,"Strong fit (Score: 98%, Similarity: 0.98). An almost perfect match for the role, exceeding experience requirements and hitting all core technologies. Recommendation: Immediately move to final interview stage; assess advanced problem-solving.",,,,,,
Mobile App Developer (iOS) with 6 years' experience in Swift and Xcode. Built native iOS applications with UIKit and SwiftUI.,"Full-stack developer with 6 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",6,0.7,70,"Moderate fit (Score: 70%, Similarity: 0.70). While both are developers, the candidate's experience is primarily in iOS native development, not full-stack MERN. Key gaps include JavaScript frameworks (React, Node.js), MongoDB, and GraphQL. Recommendation: Consider for a mobile-focused role, or if there's an opportunity to cross-skill.",,,,,,
"Database Administrator with 8 years' experience in SQL Server, Oracle, and database performance tuning. Managed large-scale relational databases.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",8,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). The candidate has strong system-level understanding but specialized in databases, not general Linux administration. Minor concerns about direct experience with Linux troubleshooting or shell scripting beyond database contexts. Recommendation: Schedule an interview to gauge versatility and specific sysadmin skills.",,,,,,
"Business Analyst with 3 years' experience in requirements gathering, process mapping, and stakeholder workshops. Agile environment exposure.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",3,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). Candidate aligns very well with experience and core responsibilities, particularly Agile and stakeholder communication. Minor concerns might be around explicit wireframing tool experience. Recommendation: Proceed to final interview; focus on project methodologies and problem-solving scenarios.",,,,,,
"DevOps Engineer with 6 years' experience in AWS, Kubernetes, Terraform, and Jenkins. Expertise in automating deployments and monitoring.",Cloud Architect with 8+ years' experience designing and implementing scalable solutions on AWS and Azure. Strong grasp of microservices and security.,6,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). Candidate has strong operational experience with relevant cloud platforms, making them a good fit for architecting. Minor concerns could be around pure design/architecture experience vs. implementation. Recommendation: Proceed to final interview, assessing high-level design principles and system-wide thinking.",,,,,,
"Project Manager with 10 years' experience in IT project delivery, leading cross-functional teams, and managing budgets. PMP certified.","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",10,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). The candidate's extensive project management experience is not relevant to an HR executive role. Key gaps include no specific HR-related skills or HRMS tool knowledge. Recommendation: Decline due to complete mismatch in functional area.",,,,,,
"Data Engineer with 7 years' experience in Spark, Kafka, and Python. Built and optimized data pipelines for real-time analytics.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",7,0.97,97,"Strong fit (Score: 97%, Similarity: 0.97). Candidate is an excellent match, exceeding experience and demonstrating direct relevance to all specified technologies and concepts. Recommendation: Fast-track to final interview stage; explore complex pipeline challenges.",,,,,,
"Network Engineer with 5 years' experience in Cisco routing/switching, firewalls, and network troubleshooting. CCNP certified.","Seeking a cybersecurity analyst with 3+ years of experience in threat analysis, SIEM tools, and incident response protocols.",5,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). Candidate has a foundational network background, which is helpful for cybersecurity, but lacks explicit threat analysis or SIEM tool experience. Recommendation: Schedule an interview to assess cybersecurity interest and aptitude for learning new tools.",,,,,,
"Sales Executive with 8 years' experience in B2B sales, CRM management (Salesforce), and achieving quarterly targets.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,8,0.74,74,"Moderate fit (Score: 74%, Similarity: 0.74). While both roles involve customer interaction and CRM, the candidate's focus is on sales, not support. Key gaps include direct experience with support platforms like Freshdesk or ticket management. Recommendation: Consider for a client-facing role, or if there's a strong interest in transitioning to support.",,,,,,
"Game Developer with 5 years' experience in Unreal Engine, C++, and multiplayer game development. Shipped 2 AAA titles.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",5,0.63,63,"Low fit (Score: 63%, Similarity: 0.63). The candidate's expertise is in game development, which is distinct from video editing, despite both being creative/digital roles. Key gaps include specific video editing software experience. Recommendation: Decline due to fundamental skill set mismatch.",,,,,,
"Digital Marketing Manager with 9 years' experience in SEM, SEO, content strategy, and team leadership. Managed multi-million dollar ad budgets.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",9,0.88,88,"Strong fit (Score: 88%, Similarity: 0.88). Candidate has extensive marketing experience including SEO (a bonus), but the role might be a step down or require demonstrating hands-on analytical tool proficiency. Recommendation: Proceed to final interview, clarifying expectations for a more hands-on analytical role.",,,,,,
"UI/UX Designer with 2 years' experience in Adobe XD, prototyping, and user flows. Limited experience with user research.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",2,0.8,80,"Good fit (Score: 80%, Similarity: 0.80). Candidate has foundational UI/UX skills but is junior for a senior role and lacks A/B testing exposure. Recommendation: Consider for a mid-level role; assess potential for growth in user research and A/B testing.",,,,,,
"Data Analyst with 4 years' experience in SQL, Python for data manipulation, and Power BI for reporting. Conducted A/B tests.","Looking for a Data Analyst with 3+ years experience in SQL, Excel, and Tableau. Experience with marketing data preferred.",4,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). Candidate is a strong match, exceeding experience and demonstrating relevant tool proficiency. The Power BI experience is transferable to Tableau. Recommendation: Proceed to final interview; focus on analytical problem-solving and marketing data experience if any.",,,,,,
"Machine Learning Engineer with 2 years' experience in PyTorch, NLP, and model deployment on AWS SageMaker.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",2,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). Candidate has strong ML and NLP skills, and deployment experience, but is a bit junior for the 4+ year requirement and uses PyTorch instead of TensorFlow. Recommendation: Schedule an interview to evaluate depth of knowledge and adaptability to TensorFlow.",,,,,,
"Cybersecurity Consultant with 7 years' experience advising on compliance (GDPR, HIPAA), risk assessments, and security audits.","Seeking a cybersecurity analyst with 3+ years of experience in threat analysis, SIEM tools, and incident response protocols.",7,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). Candidate has broad cybersecurity knowledge and experience, but the role specifically requires threat analysis and SIEM tools, which aren't explicitly mentioned. Recommendation: Schedule an interview to assess hands-on technical analysis and SIEM platform experience.",,,,,,
"Social Media Manager with 5 years' experience developing content strategies, managing campaigns across platforms (Facebook, Instagram, TikTok), and analyzing engagement metrics.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",5,0.73,73,"Moderate fit (Score: 73%, Similarity: 0.73). Candidate has marketing experience but is more focused on social media management rather than data analysis with specific tools. Key gaps include direct experience with Google Analytics, Tableau, and Excel. Recommendation: Consider if the role has a strong social media component; otherwise, assess analytical skills closely.",,,,,,
"Quality Assurance Lead with 8 years' experience in test strategy, automation framework design (Cypress, Playwright), and team leadership.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",8,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). Candidate is highly experienced and aligns perfectly with automated testing frameworks. Overqualified for a standard QA engineer but excellent for a lead position. Recommendation: Expedite interview process; potentially consider for a more senior role if available.",,,,,,
"Investment Banker with 3 years' experience in M&A deals, financial modeling, and client presentations. Passed CFA Level I.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,3,0.64,64,"Low fit (Score: 64%, Similarity: 0.64). Candidate's background is in finance, not legal. Key gaps include corporate law knowledge, contract review, and compliance. Recommendation: Decline due to fundamental domain and skill mismatch.",,,,,,
Game Developer with 3 years' experience in Unreal Engine and Blueprints. Developed levels and gameplay mechanics.,"Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",3,0.61,61,"Low fit (Score: 61%, Similarity: 0.61). Candidate is a game developer, not a video editor. While both are creative, the tools and specific skills required are completely different. Recommendation: Decline due to mismatch in core skill requirements.",,,,,,
"Technical Support Specialist with 4 years' experience in troubleshooting software issues, providing remote assistance, and managing ticket queues (Zendesk).",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,4,0.92,92,"Strong fit (Score: 92%, Similarity: 0.92). Candidate has direct experience in technical support, troubleshooting, and ticket management, which strongly aligns with customer support. Recommendation: Proceed to final interview; focus on customer service aptitude and problem-solving under pressure.",,,,,,
"Biostatistician with 6 years' experience in clinical trial design, statistical analysis (SAS, R), and data interpretation for drug development.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,6,0.7,70,"Moderate fit (Score: 70%, Similarity: 0.70). Candidate has biotech domain knowledge but is highly specialized in statistics, not wet lab techniques. Key gaps include hands-on experience with CRISPR and PCR. Recommendation: Consider for a data-focused role within biotech; assess willingness to learn wet lab skills if truly interested.",,,,,,
"Product Designer with 7 years' experience in Figma, user research, wireframing, and creating high-fidelity prototypes. Led design sprints.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",7,0.96,96,"Strong fit (Score: 96%, Similarity: 0.96). Candidate is an excellent match, meeting or exceeding all requirements including experience and specific tool proficiency. Recommendation: Expedite interview process; focus on leadership and strategic impact.",,,,,,
Copywriter with 3 years' experience in creating engaging marketing copy for digital campaigns and websites. SEO awareness.,Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,3,0.6,60,"Low fit (Score: 60%, Similarity: 0.60). Candidate's skills are in creative writing for marketing, not technical prompt engineering or NLP. Recommendation: Decline due to fundamental skill set mismatch.",,,,,,
"Supply Chain Analyst with 5 years' experience in demand forecasting, inventory management, and logistics optimization using SAP.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",5,0.66,66,"Low fit (Score: 66%, Similarity: 0.66). Candidate is a specialist in supply chain, with no clear overlap with marketing analytics tools or KPIs. Recommendation: Decline due to domain and skill mismatch.",,,,,,
"Embedded Systems Engineer with 8 years' experience in C/C++, RTOS, and microcontroller programming for IoT devices.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",8,0.69,69,"Low fit (Score: 69%, Similarity: 0.69). Candidate is a specialized embedded systems engineer, not a backend web developer. Key gaps include Python web frameworks, databases, and API development for web services. Recommendation: Decline due to significant technical domain mismatch.",,,,,,
"Market Research Analyst with 4 years' experience in conducting surveys, analyzing consumer behavior, and generating insights. Proficient in SPSS and Qualtrics.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",4,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). Candidate has strong analytical and research skills, which are transferable to a BA role, but lacks explicit experience in wireframing or Agile methodologies from a BA perspective. Recommendation: Schedule an interview to evaluate problem-solving frameworks and adaptability to a BA process.",,,,,,
"Cloud Security Engineer with 5 years' experience in securing AWS environments, implementing SIEM solutions (Splunk), and managing IAM policies.",Seeking a DevSecOps expert with hands-on experience integrating security into DevOps pipelines. Knowledge of Vault and IAM required.,5,0.9,90,"Strong fit (Score: 90%, Similarity: 0.90). Candidate has strong cloud security background directly relevant to DevSecOps, including IAM and Splunk (a SIEM tool). Experience with Vault would be a plus to confirm. Recommendation: Proceed to final interview, focusing on specific DevSecOps implementations and automation experience.",,,,,,
"IT Support Specialist with 2 years' experience in desktop support, network troubleshooting, and software installation. Familiar with Active Directory.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",2,0.8,80,"Good fit (Score: 80%, Similarity: 0.80). Candidate has relevant IT support background, but is junior for the sysadmin role and specific Linux/shell scripting expertise needs to be verified. Recommendation: Schedule an interview to assess specific Linux proficiency and growth potential.",,,,,,
Academic Researcher (Physics) with 7 years' experience in theoretical modeling and data analysis using MATLAB. Published extensively.,"Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",7,0.71,71,"Moderate fit (Score: 71%, Similarity: 0.71). Candidate has strong research and analytical skills, but their domain (physics) and tools (MATLAB) don't directly align with ML engineering in industry. Key gaps include specific ML frameworks and deployment experience. Recommendation: Consider for a research-oriented ML role or if there's demonstrable self-study in ML/NLP.",,,,,,
"Customer Success Manager with 6 years' experience in client relationship management, onboarding, and churn reduction for SaaS products.","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",6,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). Candidate has strong customer-facing experience and 'onboarding' skills, which partially align with HR, but lacks core HR responsibilities and HRMS tool specific experience. Recommendation: Schedule an interview to explore transferable skills and interest in HR domain.",,,,,,
"Robotics Engineer with 4 years' experience in ROS, C++, and Python for robot control and simulation.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",4,0.72,72,"Moderate fit (Score: 72%, Similarity: 0.72). Candidate has strong Python skills but is specialized in robotics, not web backend. Key gaps include web frameworks (Flask/Django), databases, and API development for web services. Recommendation: Consider if the role has unique needs for low-level Python or embedded systems, otherwise a mismatch.",,,,,,
"UX Writer with 3 years' experience crafting clear and concise copy for user interfaces, microcopy, and help documentation.","Technical writer with 7 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.",3,0.88,88,"Strong fit (Score: 88%, Similarity: 0.88). Candidate has highly relevant experience in UI/UX writing, which is a specialized form of technical writing, and understands user-facing documentation. The lower years of experience is the only minor concern. Recommendation: Proceed to final interview; assess ability to handle technical depth (APIs/SDKs).",,,,,,
"Full-stack Developer with 5 years' experience in Node.js, React, MongoDB, and AWS Lambda. Built serverless applications.","Full-stack developer with 6 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",5,0.96,96,"Strong fit (Score: 96%, Similarity: 0.96). Candidate is an almost perfect match, strong in MERN stack components and scalable architecture. Recommendation: Immediately move to final interview stage; assess specific experience with GraphQL and system design.",,,,,,
"Senior Accountant with 9 years' experience in general ledger, financial statements, and tax compliance. Proficient in QuickBooks.","Financial Analyst with 6 years' experience in financial modeling, budgeting, and forecasting. Proficient in Excel and financial reporting tools.",9,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). Candidate has strong finance domain knowledge, but is more accounting-focused, not specifically financial modeling and forecasting. Recommendation: Schedule an interview to assess analytical aptitude and experience with financial analysis tools beyond basic reporting.",,,,,,
